Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
ARI,35,29.4,4.85,33,1297,1141,160,270,48,9,40,148,10,3,126,292,.237,.319,.400,.719,97,456,22,16,5,7,5,252
ATL,37,27.7,4.64,33,1232,1074,153,246,50,4,47,147,8,2,121,287,.229,.316,.414,.731,92,445,22,20,8,9,13,214
BAL,33,27.0,3.88,33,1212,1106,128,256,55,2,34,121,10,3,87,297,.231,.291,.377,.668,89,417,16,9,4,6,1,207
BOS,29,28.2,5.38,34,1291,1162,183,312,76,3,41,166,15,4,100,282,.269,.334,.445,.779,116,517,28,18,2,8,5,224
CHC,37,29.5,4.61,33,1224,1058,152,238,44,8,41,145,26,8,122,327,.225,.314,.398,.712,100,421,20,21,9,13,6,207
CHW,32,28.0,5.00,31,1176,1028,155,262,48,5,27,144,17,6,120,271,.255,.339,.390,.729,108,401,21,15,5,8,2,223
CIN,32,29.0,5.06,31,1188,1048,157,254,50,4,44,147,6,6,101,294,.242,.319,.424,.743,94,444,18,22,8,9,3,202
CLE,32,26.9,4.25,32,1170,1045,136,219,48,7,40,130,16,1,107,269,.210,.286,.384,.670,86,401,20,7,4,5,4,185
COL,32,28.2,4.82,33,1212,1096,159,269,48,9,36,152,17,5,94,285,.245,.307,.404,.711,87,443,14,7,7,8,7,198
DET,34,28.4,3.26,34,1197,1090,111,231,35,7,34,109,16,3,94,354,.212,.277,.350,.628,78,382,19,6,1,4,1,199
HOU,36,29.1,5.00,33,1245,1125,165,291,64,4,36,157,9,3,91,239,.259,.319,.419,.738,107,471,35,15,0,13,4,208
KCR,33,29.6,4.19,32,1176,1049,134,247,48,9,31,127,25,8,99,265,.235,.304,.387,.691,93,406,19,8,6,10,2,207
LAA,40,30.5,4.84,32,1208,1100,155,287,48,4,44,143,12,3,81,260,.261,.320,.432,.752,109,475,31,17,4,6,7,200
LAD,37,28.7,5.09,34,1369,1166,173,284,54,9,40,165,13,3,159,320,.244,.347,.408,.755,112,476,26,29,7,8,13,275
MIA,34,29.4,4.22,32,1184,1056,135,245,46,6,30,128,20,7,98,313,.232,.304,.372,.676,88,393,19,16,3,10,6,195
MIL,41,28.5,3.88,34,1272,1125,132,245,40,4,40,129,14,4,109,346,.218,.301,.367,.668,83,413,19,27,4,6,3,229
MIN,39,29.1,4.69,32,1212,1083,150,262,58,4,44,142,14,1,102,292,.242,.312,.425,.737,112,460,17,14,2,11,2,218
NYM,33,28.2,3.46,28,1025,891,97,208,36,2,22,91,7,4,108,228,.233,.327,.352,.680,93,314,17,18,5,3,5,220
NYY,34,29.4,4.09,33,1241,1082,135,241,38,0,45,127,6,1,145,294,.223,.318,.383,.701,101,414,28,8,2,4,2,224
OAK,33,29.9,4.20,35,1277,1120,147,245,45,5,46,138,22,6,124,313,.219,.308,.391,.699,103,438,20,24,2,7,1,223
PHI,35,28.9,4.24,34,1242,1107,144,259,43,4,38,136,16,3,104,346,.234,.304,.383,.687,91,424,26,13,6,11,6,210
PIT,34,28.2,3.44,32,1182,1050,110,237,53,3,22,106,13,3,107,267,.226,.305,.345,.650,80,362,18,16,3,6,0,232
SDP,36,27.7,3.76,34,1279,1123,128,256,38,3,32,121,38,9,130,280,.228,.312,.353,.664,92,396,33,11,4,9,5,242
SEA,34,27.4,4.12,34,1207,1075,140,223,54,2,40,135,16,6,107,319,.207,.285,.373,.658,91,401,15,13,3,7,0,188
SFG,37,31.0,4.55,33,1208,1056,150,241,47,5,46,146,16,3,129,307,.228,.317,.413,.730,106,436,32,10,7,5,9,203
STL,35,28.2,4.68,34,1236,1107,159,261,48,5,43,148,12,4,99,284,.236,.306,.405,.710,101,448,24,16,6,8,11,200
TBR,38,27.4,4.26,35,1335,1181,149,265,59,3,35,138,19,7,124,365,.224,.308,.368,.676,99,435,18,21,3,6,1,247
TEX,34,26.9,4.23,35,1305,1170,148,285,38,4,44,141,25,8,104,346,.244,.314,.396,.710,99,463,28,19,5,7,2,222
TOR,36,26.4,4.88,32,1196,1073,156,254,37,1,47,146,17,4,100,269,.237,.307,.404,.712,100,434,20,12,2,7,4,195
WSN,37,29.5,3.69,29,1061,950,107,234,39,1,29,103,13,7,83,246,.246,.316,.381,.697,94,362,22,17,4,7,6,197
LgAvg,35,28.6,4.38,33,1222,1085,144,254,48,5,38,136,16,5,109,295,.234,.311,.392,.703,97,425,22,16,4,8,5,215
,1046,28.6,4.38,984,36659,32537,4308,7627,1435,136,1138,4076,468,135,3275,8857,.234,.311,.392,.703,97,12748,667,465,131,228,136,6446
