,APPGa,APPG,pj_vO,pj_vOa,pj_vOab,APPGa_1-6,APPG_1-6,pj_vO_1-6,pj_vOa_1-6,pj_vOab_1-6,APPGa_1-5,APPG_1-5,pj_vO_1-5,pj_vOa_1-5,pj_vOab_1-5,Name_APPGa,Total_APPGa,Name_APPG,Total_APPG,Name_pj_vO,Total_pj_vO,Name_pj_vOa,Total_pj_vOa,Name_pj_vOab,Total_pj_vOab,Name_APPGa_1-6,Total_APPGa_1-6,Name_APPG_1-6,Total_APPG_1-6,Name_pj_vO_1-6,Total_pj_vO_1-6,Name_pj_vOa_1-6,Total_pj_vOa_1-6,Name_pj_vOab_1-6,Total_pj_vOab_1-6,Name_APPGa_1-5,Total_APPGa_1-5,Name_APPG_1-5,Total_APPG_1-5,Name_pj_vO_1-5,Total_pj_vO_1-5,Name_pj_vOa_1-5,Total_pj_vOa_1-5,Name_pj_vOab_1-5,Total_pj_vOab_1-5
0,05-15-21,05-15-21,05-15-21,05-15-21,05-15-21,05-15-21,05-15-21,05-15-21,05-15-21,05-15-21,05-15-21,05-15-21,05-15-21,05-15-21,05-15-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Chris Taylor,Chris Taylor,Cesar Hernandez,Cesar Hernandez,Cesar Hernandez,Chris Taylor,Chris Taylor,Cesar Hernandez,Cesar Hernandez,Cesar Hernandez,Franmil Reyes,Franmil Reyes,Cesar Hernandez,Cesar Hernandez,Cesar Hernandez,Chris Taylor,11.0,Chris Taylor,11.0,Cesar Hernandez,0.0,Cesar Hernandez,0.0,Cesar Hernandez,0.0,Chris Taylor,11.0,Chris Taylor,11.0,Cesar Hernandez,0.0,Cesar Hernandez,0.0,Cesar Hernandez,0.0,Franmil Reyes,2.0,Franmil Reyes,2.0,Cesar Hernandez,0.0,Cesar Hernandez,0.0,Cesar Hernandez,0.0
2,Isan Diaz,Gavin Lux,Franmil Reyes,Franmil Reyes,Franmil Reyes,Isan Diaz,Isan Diaz,Franmil Reyes,Franmil Reyes,Franmil Reyes,Isan Diaz,Isan Diaz,Franmil Reyes,Franmil Reyes,Franmil Reyes,Isan Diaz,0.0,Gavin Lux,6.0,Franmil Reyes,2.0,Franmil Reyes,2.0,Franmil Reyes,2.0,Isan Diaz,0.0,Isan Diaz,0.0,Franmil Reyes,2.0,Franmil Reyes,2.0,Franmil Reyes,2.0,Isan Diaz,0.0,Isan Diaz,0.0,Franmil Reyes,2.0,Franmil Reyes,2.0,Franmil Reyes,2.0
3,Jarred Kelenic,Jarred Kelenic,J.P. Crawford,J.P. Crawford,J.P. Crawford,Jarred Kelenic,Jarred Kelenic,Jarred Kelenic,Jarred Kelenic,Jarred Kelenic,Jarred Kelenic,Jarred Kelenic,Jarred Kelenic,Jarred Kelenic,Jarred Kelenic,Jarred Kelenic,0.0,Jarred Kelenic,0.0,J.P. Crawford,9.0,J.P. Crawford,9.0,J.P. Crawford,9.0,Jarred Kelenic,0.0,Jarred Kelenic,0.0,Jarred Kelenic,0.0,Jarred Kelenic,0.0,Jarred Kelenic,0.0,Jarred Kelenic,0.0,Jarred Kelenic,0.0,Jarred Kelenic,0.0,Jarred Kelenic,0.0,Jarred Kelenic,0.0
4,Jesus Aguilar,Jesus Aguilar,Jarred Kelenic,Jarred Kelenic,Jarred Kelenic,Jesus Aguilar,Jesus Aguilar,Jesus Aguilar,Jesus Aguilar,Jesus Aguilar,Jesus Aguilar,Jesus Aguilar,Jesus Aguilar,Jesus Aguilar,Jesus Aguilar,Jesus Aguilar,0.0,Jesus Aguilar,0.0,Jarred Kelenic,0.0,Jarred Kelenic,0.0,Jarred Kelenic,0.0,Jesus Aguilar,0.0,Jesus Aguilar,0.0,Jesus Aguilar,0.0,Jesus Aguilar,0.0,Jesus Aguilar,0.0,Jesus Aguilar,0.0,Jesus Aguilar,0.0,Jesus Aguilar,0.0,Jesus Aguilar,0.0,Jesus Aguilar,0.0
5,Kyle Seager,Jordan Holloway,Jesus Aguilar,Jesus Aguilar,Jesus Aguilar,Kyle Seager,Jordan Holloway,Jordan Holloway,Jordan Holloway,Jordan Holloway,Kyle Seager,Jordan Holloway,Jordan Holloway,Jordan Holloway,Jordan Holloway,Kyle Seager,11.0,Jordan Holloway,3.15,Jesus Aguilar,0.0,Jesus Aguilar,0.0,Jesus Aguilar,0.0,Kyle Seager,11.0,Jordan Holloway,3.15,Jordan Holloway,3.15,Jordan Holloway,3.15,Jordan Holloway,3.15,Kyle Seager,11.0,Jordan Holloway,3.15,Jordan Holloway,3.15,Jordan Holloway,3.15,Jordan Holloway,3.15
6,Miguel Rojas,Justin Turner,Jordan Holloway,Jordan Holloway,Jordan Holloway,Miguel Rojas,Jose Ramirez,Kyle Seager,Kyle Seager,Kyle Seager,Miguel Rojas,Jose Ramirez,Kyle Seager,Kyle Seager,Kyle Seager,Miguel Rojas,0.0,Justin Turner,7.0,Jordan Holloway,3.15,Jordan Holloway,3.15,Jordan Holloway,3.15,Miguel Rojas,0.0,Jose Ramirez,19.0,Kyle Seager,11.0,Kyle Seager,11.0,Kyle Seager,11.0,Miguel Rojas,0.0,Jose Ramirez,19.0,Kyle Seager,11.0,Kyle Seager,11.0,Kyle Seager,11.0
7,Mitch Haniger,Miguel Rojas,Jose Ramirez,Jose Ramirez,Jose Ramirez,Mitch Haniger,Miguel Rojas,Miguel Rojas,Miguel Rojas,Miguel Rojas,Mitch Haniger,Miguel Rojas,Miguel Rojas,Miguel Rojas,Miguel Rojas,Mitch Haniger,19.0,Miguel Rojas,0.0,Jose Ramirez,19.0,Jose Ramirez,19.0,Jose Ramirez,19.0,Mitch Haniger,19.0,Miguel Rojas,0.0,Miguel Rojas,0.0,Miguel Rojas,0.0,Miguel Rojas,0.0,Mitch Haniger,19.0,Miguel Rojas,0.0,Miguel Rojas,0.0,Miguel Rojas,0.0,Miguel Rojas,0.0
8,Trevor Bauer,Mitch Haniger,Mitch Haniger,Mitch Haniger,Mitch Haniger,Trevor Bauer,Mitch Haniger,Mitch Haniger,Mitch Haniger,Mitch Haniger,Trevor Bauer,Mitch Haniger,Mitch Haniger,Mitch Haniger,Mitch Haniger,Trevor Bauer,38.55,Mitch Haniger,19.0,Mitch Haniger,19.0,Mitch Haniger,19.0,Mitch Haniger,19.0,Trevor Bauer,38.55,Mitch Haniger,19.0,Mitch Haniger,19.0,Mitch Haniger,19.0,Mitch Haniger,19.0,Trevor Bauer,38.55,Mitch Haniger,19.0,Mitch Haniger,19.0,Mitch Haniger,19.0,Mitch Haniger,19.0
9,Triston McKenzie,Trevor Bauer,Trevor Bauer,Trevor Bauer,Tom Murphy,Triston McKenzie,Trevor Bauer,Trevor Bauer,Trevor Bauer,Trevor Bauer,Triston McKenzie,Trevor Bauer,Trevor Bauer,Trevor Bauer,Trevor Bauer,Triston McKenzie,6.425000000000002,Trevor Bauer,38.55,Trevor Bauer,38.55,Trevor Bauer,38.55,Tom Murphy,0.0,Triston McKenzie,6.425000000000002,Trevor Bauer,38.55,Trevor Bauer,38.55,Trevor Bauer,38.55,Trevor Bauer,38.55,Triston McKenzie,6.425000000000002,Trevor Bauer,38.55,Trevor Bauer,38.55,Trevor Bauer,38.55,Trevor Bauer,38.55
10,Will Smith,Will Smith,Will Smith,Will Smith,Trevor Bauer,Will Smith,Will Smith,Will Smith,Will Smith,Will Smith,Will Smith,Will Smith,Will Smith,Will Smith,Will Smith,Will Smith,4.0,Will Smith,4.0,Will Smith,4.0,Will Smith,4.0,Trevor Bauer,38.55,Will Smith,4.0,Will Smith,4.0,Will Smith,4.0,Will Smith,4.0,Will Smith,4.0,Will Smith,4.0,Will Smith,4.0,Will Smith,4.0,Will Smith,4.0,Will Smith,4.0
11,109.24,105.54,110.07,110.07,107.47,109.24,105.26,107.45,107.45,105.0,108.56,104.58,107.45,107.45,105.0,,89.975,,88.69999999999999,,94.69999999999999,,94.69999999999999,,90.69999999999999,,89.975,,94.69999999999999,,77.69999999999999,,77.69999999999999,,77.69999999999999,,80.975,,85.69999999999999,,77.69999999999999,,77.69999999999999,,77.69999999999999
